entry_id,field_path,status,old_line,new_line,old_desc_preview,new_desc_preview
entry-00125,critical_operation,no_anchor,218,218-221,dispatchAgentHook 以展开的 normalized.value 为参数被调用，其中 sessionKey 字段源自请求体，未经前缀白名单或配置门…,
entry-00125,trace[4],no_anchor,278,278-281,随后，sessionKey 的最终值在此确定：若 sessionKeyRaw 为非空字符串则直接采用其 trim() 结果，否则退回到自动生成的 hook:${…,
entry-00125,trace[5],no_anchor,302,302-316,该返回值流入 server-http.ts 中的 normalized 变量，normalizeAgentPayload 将含有外部可控 sessionKey …,
entry-00127,critical_operation,no_anchor,447,447-456,"当 pathname 为 ""/cdp"" 时，此分支先核查 extensionWs 是否在线，再调用 wssCdp.handleUpgrade 完成协议握手并触发…",
entry-00127,trace[1],no_anchor,431,431-434,isLoopbackAddress(remote) 的返回值决定是否以 403 拒绝本次升级——仅当对端非回环地址时触发 rejectUpgrade，来自 12…,
entry-00127,trace[3],no_anchor,452,452-454,"wssCdp.handleUpgrade 将 HTTP 连接正式完成 WebSocket 握手，回调中的 wssCdp.emit(""connection"", w…",
entry-00127,trace[4],no_anchor,592,592-593,"wssCdp.on(""connection"", ...) 在握手完成后被触发，通过 cdpClients.add(ws) 将新建的 ws 实例注册进活跃 CDP…",
entry-00127,trace[6],no_anchor,297,297-307,sendToExtension 将 cmd.method、cmd.sessionId 与 cmd.params 封装为携带自增 id 的 forwardCDPC…,
entry-00134,entry_point,no_anchor,1444,1444-1449,handleBlueBubblesWebhookRequest 作为 BlueBubbles webhook 请求的入口函数，接收外部 HTTP 请求后解析请求…,
entry-00134,critical_operation,no_anchor,1536,1536-1539,req.socket?.remoteAddress 在 token 比对未成功后被读取，用于判断连接来源是否为回环地址；若匹配则无条件返回 true 将目标纳入…,
entry-00134,trace[0],no_anchor,1444,1444-1445,handleBlueBubblesWebhookRequest 函数定义处是 HTTP 连接从传输层移交至认证逻辑的边界点，IncomingMessage 对象…,
entry-00134,trace[1],no_anchor,1521,1521-1525,targets.filter 回调起始处读取每个目标账户的 password 配置作为期望 token；若 token 为空则直接返回 true 放行，无需任何…,
entry-00134,trace[2],no_anchor,1526,1526-1533,从 URL 查询参数及多个请求头字段（x-guid、x-password、x-bluebubbles-guid、authorization）中依次尝试提取凭证，…,
entry-00134,trace[3],no_anchor,1533,1533-1534,if (guid && guid.trim() === token) 判断在凭证匹配时使 filter 回调提前返回 true；但当 guid 为空字符串或与 …,
entry-00134,trace[4],no_anchor,1536,1536-1538,filter 回调在 token 比对失败后继续执行至此，读取 req.socket?.remoteAddress 并与三个回环地址字面量做精确比较；若来源为回…,
entry-00134,trace[5],no_anchor,1552,1552-1553,for (const target of matching) 遍历经过滤函数筛选后的目标列表，调用 target.statusSink 记录本次入站时间戳。此时…,
entry-00134,trace[6],no_anchor,1563,1563-1564,getOrCreateDebouncer 为当前目标获取或新建防抖队列实例，随后 debouncer.enqueue 将消息与目标封装后异步入队。在调用栈下游，…,
entry-00134,trace[7],no_anchor,2203,2203-2205,dispatchReplyWithBufferedBlockDispatcher 接收封装好的上下文 ctxPayload 与配置 cfg，将消息作为合法输入送…,
entry-00148,entry_point,no_anchor,148,148-150,handleGoogleChatWebhookRequest 是暴露给 HTTP server 的 Google Chat webhook 公共处理函数，以 r…,
entry-00148,critical_operation,no_anchor,273,273-277,processGoogleChatEvent 以 selected 及其携带的账号上下文（accountId、运行时配置）为参数，将入站事件交由具体账号的 Ag…,
entry-00148,trace[0],no_anchor,152,152-153,handleGoogleChatWebhookRequest 在函数体起始处调用 normalizeWebhookPath 对 req.url 进行路径规范化，…,
entry-00148,trace[2],no_anchor,247,247-249,在调用栈向验证阶段推进时，effectiveBearer 从请求的 Authorization 头部提取最终生效的 JWT Bearer Token——当头部含…,
entry-00148,trace[5],no_anchor,255,255-259,在循环体内部，verifyGoogleChatRequest 以 effectiveBearer、audienceType 和 audience 为参数对当前 …,
entry-00148,trace[6],no_anchor,260,260-263,在调用栈同层的条件分支中，verification.ok 为真时将当前 target 赋给 selected 并立即执行 break，终止对 targets 剩…,
entry-00148,trace[7],no_anchor,266,266-270,在调用栈下游的后验阶段，!selected 守卫分支仅处理循环结束后 selected 仍为 undefined 的情形并返回 401。然而该逻辑对多个目标均通…,
entry-00229,entry_point,no_anchor,80,80-82,createApplyPatchTool 是 apply_patch 工具的注册工厂，接受 sandbox 配置与 workspaceOnly 选项，将二者封装…,
entry-00229,critical_operation,no_anchor,258,258-266,options.sandbox.bridge.resolvePath 将传入的 filePath 映射为宿主机绝对路径（hostPath），该映射遵循沙箱挂载表…,
entry-00229,trace[1],no_anchor,405,405-415,createApplyPatchTool 在此处被调用，由 pi-tools.ts 充当 caller、apply-patch.ts 充当 callee，完成工…,
entry-00229,trace[2],no_anchor,105,105-110,applyPatch 函数在工具处理器（handler）内部被调用，此处是从工具注册层流向核心补丁处理逻辑的 caller→callee 跨越。cwd、sand…,
entry-00229,trace[4],no_anchor,149,149-151,resolvePatchPath 对当前 hunk 的目标路径完成解析后，ensureDir 确保目录存在，fileOps.writeFile 随即将 hunk…,
entry-00229,trace[5],no_anchor,253,253-258,resolvePatchPath 函数体的顶层分支判断位于此处，当 options.sandbox 存在时进入沙箱路径解析逻辑。这是从 applyPatch 主…,
entry-00248,critical_operation,no_anchor,159,159-167,此条件分支是 allowlist 评估器决定 skillAllow 取值的核心位置。当 allowSkills 为真、rawExecutable 不含显式路径分…,
entry-00248,trace[0],no_anchor,304,304-308,handleSystemRunInvoke 向 sanitizeSystemRunEnvOverrides 传递 opts.params.env 覆盖项，由该函…,
entry-00248,trace[1],no_anchor,51,51-61,调用栈随后进入 resolveExecutablePath，由上游 caller 传入 rawExecutable、cwd 和 env 参数。该函数依次处理波浪…,
entry-00248,trace[2],no_anchor,121,121-122,在调用栈下游，resolveExecutablePath 的返回值被赋给 resolvedPath，随后通过 path.basename(resolvedPat…,
entry-00248,trace[4],no_anchor,465,465-470,漏洞链路的终点，handleSystemRunInvoke 以 execArgv、工作目录、env 及超时参数向 opts.runCommand 发起实际命令执…,
entry-00251,trace[3],no_anchor,325,326,senderCandidates.find iterates the tainted candidate list — including the conver…,
entry-00300,trace[0],no_anchor,134,196,在 handleConfigCommand 函数体内，rejectUnauthorizedCommand 被以 params 和命令标签为参数调用，完成从 ca…,
entry-00300,trace[1],no_anchor,8,8-14,rejectUnauthorizedCommand 是授权门控的 callee 实现，从调用栈上游接收 params 后仅检查 params.command.i…,
entry-00305,critical_operation,no_anchor,387,387-393,该 return 语句是越权操作的终态判定点：它将越权读取所得的目标 session 完整运行时状态——resolved.key 标识的 sessionKey、…,
entry-00305,trace[0],no_anchor,215,215-217,从 entry_point 流向此处：工具以 requestedKeyRaw 是否携带 agent: 前缀为分支条件，仅在前缀存在时调用 ensureAgent…,
entry-00305,trace[1],no_anchor,227,227-231,越过不完整的访问控制分支后，resolveSessionEntry 以 requestedKeyRaw 为检索键从全局 session store 中定位并加载…,
entry-00305,trace[2],no_anchor,357,357-362,从 resolved 携带的目标 session 数据流向 buildStatusMessage：该调用将 resolved.entry、resolved.ke…,
entry-00305,trace[3],no_anchor,387,387-393,作为调用链的终态节点，此处是 statusText 数据流从 buildStatusMessage 序列化阶段流向最终输出的最后一跳：statusText 与 …,
entry-00311,trace[0],no_anchor,131,131-134,AuthProvider.get_routes() 是父类定义的路由注册入口，接受 mcp_path 参数以指示当前 MCP server 的挂载路径。此方法充…,
entry-00312,critical_operation,no_anchor,125,128,"entry.roles = mergeRoles(entry.roles, role) 是角色权限写入的直接触发点，将外部传入的 role 参数无限制地追加至持…",
entry-00312,trace[4],no_anchor,125,128,mergeRoles 所在的写入区域在调用链中位于所有身份绑定校验通过之后、entry 字段批量更新序列的起点。执行流从上游的参数校验与令牌匹配段流向此处的字段…,
entry-00314,critical_operation,no_anchor,139,139-141,session.execute 以请求方传入的 task_instance_id 为过滤条件，直接从数据库检索与之匹配的 HITLDetail 记录。由于调用栈…,
entry-00314,trace[3],no_anchor,130,130-133,router.get 装饰器将 /{task_instance_id} 路径注册为 GET 端点，task_instance_id 作为纯路径参数对外暴露。随后…,
entry-00314,trace[4],no_anchor,134,134-137,get_hitl_detail 函数签名直接接收来自请求路径的 task_instance_id（UUID 类型）和数据库会话对象，函数体内未对该标识符进行所有…,
entry-00314,trace[5],no_anchor,142,142-143,_check_hitl_detail_exists 对查询结果做存在性检验后，from_hitl_detail_orm 将 ORM 对象序列化为响应体并返回给调…,
entry-00315,critical_operation,no_anchor,111,111-113,session.execute 以路径参数 task_instance_id 为 WHERE 条件直接检索 HITLDetail 记录，数据库层对调用方与目标记…,
entry-00315,trace[4],no_anchor,111,111-113,在调用栈下游，PATCH 端点内的 session.execute 以路径参数 task_instance_id 为过滤条件执行 select(HITLDeta…,
entry-00371,critical_operation,no_anchor,346,346-354,tokens[roleForToken] 赋值块在 approveDevicePairing 内部完成设备 token 的最终写入，nextScopes 直接来…,
entry-00371,trace[4],no_anchor,336,336-344,nextScopes 赋值表达式判断 requestedScopes 是否非空：若非空则直接采用，跳过 fallback 路径。在这一分支中没有对 caller…,
