entry_id,field_path,old_line,new_line,old_desc,new_desc
entry-00458,critical_operation,549,549-557,第549行 if 条件块是 device-less 连接路径上 clearUnboundScopes() 的唯一触发门。条件右侧白名单含 token、password 与 trustedProxyAuthOk，但未纳入 trusted-proxy 方法。非 Control-UI 客户端经 trusted-proxy 认证时，isTrustedProxyControlUiOperatorAuth 因 isControlUi===false 返回 false，trustedProxyAuthOk 为 false，authMethod 亦不在白名单，整个条件为 false，clearUnboundScopes() 不执行，operator.admin scope 保留——这是漏洞链路的核心缺口。,第 549-557 行 if 条件块是 device-less 连接路径上 clearUnboundScopes() 的唯一触发门。条件右侧白名单含 token、password 与 trustedProxyAuthOk，但未纳入 trusted-proxy 方法。非 Control-UI 客户端经 trusted-proxy 认证时，isTrustedProxyControlUiOperatorAuth 因 isControlUi===false 返回 false，trustedProxyAuthOk 为 false，authMethod 亦不在白名单，整个条件为 false，clearUnboundScopes() 不执行，operator.admin scope 保留——这是漏洞链路的核心缺口。
entry-00458,trace[0],393,393-394,"message-handler.ts 第 393 行从 connectParams 中读取 role 字段（缺省 ""operator""），调用 parseGatewayRole 将其转换为类型化的 GatewayRole。这是 socket.on 消息处理器进入握手逻辑后第一个解析客户端声明的节点；role 值将随调用链流入 isTrustedProxyControlUiOperatorAuth 和 evaluateMissingDeviceIdentity，影响 trustedProxyAuthOk 的计算与 scope 清除条件的最终走向。","message-handler.ts 第 393-394 行从 connectParams 中读取 role 字段（缺省 ""operator""），调用 parseGatewayRole 将其转换为类型化的 GatewayRole。这是 socket.on 消息处理器进入握手逻辑后第一个解析客户端声明的节点；role 值将随调用链流入 isTrustedProxyControlUiOperatorAuth 和 evaluateMissingDeviceIdentity，影响 trustedProxyAuthOk 的计算与 scope 清除条件的最终走向。"
entry-00458,trace[1],466,466-474,message-handler.ts 第 466 行以 await 形式调用 resolveConnectAuthState，传入 resolvedAuth、connectAuth 及 device 标志等，析构返回的 authResult、authOk、authMethod、sharedAuthOk 等认证状态字段。随后 authMethod 与 sharedAuthOk 将分别决定 scope 清除条件的方法匹配与 operator 跳过设备身份检查的资格，是 socket 层向认证状态计算层的关键跳转点。,message-handler.ts 第 466-474 行以 await 形式调用 resolveConnectAuthState，传入 resolvedAuth、connectAuth 及 device 标志等，析构返回的 authResult、authOk、authMethod、sharedAuthOk 等认证状态字段。随后 authMethod 与 sharedAuthOk 将分别决定 scope 清除条件的方法匹配与 operator 跳过设备身份检查的资格，是 socket 层向认证状态计算层的关键跳转点。
entry-00458,trace[2],151,151-154,"auth-context.ts 第 151 行在 resolveConnectAuthState 内部计算 sharedAuthOk：当 authResult.ok 为 true 且 authResult.method === ""trusted-proxy"" 时，sharedAuthOk 亦被置为 true。在调用栈下游，这一赋值使 roleCanSkipDeviceIdentity(""operator"", true) 返回 true，进而推动 evaluateMissingDeviceIdentity 返回 {kind: ""allow""}，最终使 scope 清除条件的右侧分支失去命中机会。","auth-context.ts 第 151-154 行在 resolveConnectAuthState 内部计算 sharedAuthOk：当 authResult.ok 为 true 且 authResult.method === ""trusted-proxy"" 时，sharedAuthOk 亦被置为 true。在调用栈下游，这一赋值使 roleCanSkipDeviceIdentity(""operator"", true) 返回 true，进而推动 evaluateMissingDeviceIdentity 返回 {kind: ""allow""}，最终使 scope 清除条件的右侧分支失去命中机会。"
entry-00458,trace[3],522,522-527,message-handler.ts 第 522 行定义内部函数 handleMissingDeviceIdentity，并在函数体内调用 isTrustedProxyControlUiOperatorAuth（传入 isControlUi、role、resolvedAuth.mode、authOk 等）来计算 trustedProxyAuthOk。由于当前连接为非 Control-UI 类型（isControlUi===false），trustedProxyAuthOk 在此步已确定为 false；该值随后将被送入 evaluateMissingDeviceIdentity 和 scope 清除条件，是漏洞条件形成的关键计算节点。,message-handler.ts 第 522-527 行定义内部函数 handleMissingDeviceIdentity，并在函数体内调用 isTrustedProxyControlUiOperatorAuth（传入 isControlUi、role、resolvedAuth.mode、authOk 等）来计算 trustedProxyAuthOk。由于当前连接为非 Control-UI 类型（isControlUi===false），trustedProxyAuthOk 在此步已确定为 false；该值随后将被送入 evaluateMissingDeviceIdentity 和 scope 清除条件，是漏洞条件形成的关键计算节点。
entry-00458,trace[4],62,62-71,connect-policy.ts 第 62 行定义的 isTrustedProxyControlUiOperatorAuth 以 params.isControlUi && ... 作为返回表达式的首条件。isControlUi===false 时逻辑短路直接返回 false，无论 role 或 authMethod 取何值。在调用栈上游，message-handler.ts 以非 Control-UI 客户端的 isControlUi===false 调用此函数，trustedProxyAuthOk 必然为 false，将 trusted-proxy scope 清除通道严格锁定在 Control-UI 场景，在非 Control-UI 的 trusted-proxy 路径上留下了 scope 未清除的漏洞缺口。,connect-policy.ts 第 62-71 行定义的 isTrustedProxyControlUiOperatorAuth 以 params.isControlUi && ... 作为返回表达式的首条件。isControlUi===false 时逻辑短路直接返回 false，无论 role 或 authMethod 取何值。在调用栈上游，message-handler.ts 以非 Control-UI 客户端的 isControlUi===false 调用此函数，trustedProxyAuthOk 必然为 false，将 trusted-proxy scope 清除通道严格锁定在 Control-UI 场景，在非 Control-UI 的 trusted-proxy 路径上留下了 scope 未清除的漏洞缺口。
entry-00458,trace[5],535,535-545,"message-handler.ts 第 535 行调用 evaluateMissingDeviceIdentity，传入 hasDeviceIdentity=false、role=""operator""、trustedProxyAuthOk=false、sharedAuthOk=true 等参数，评估无设备身份情况下的连接许可决策。随后返回的 decision 对象将流入 scope 清除条件：decision.kind === ""allow"" 时清除逻辑须依赖 authMethod 或 trustedProxyAuthOk 为真，而此路径下两者均为 false，为最终 scope 保留奠定了条件。","message-handler.ts 第 535-545 行调用 evaluateMissingDeviceIdentity，传入 hasDeviceIdentity=false、role=""operator""、trustedProxyAuthOk=false、sharedAuthOk=true 等参数，评估无设备身份情况下的连接许可决策。随后返回的 decision 对象将流入 scope 清除条件：decision.kind === ""allow"" 时清除逻辑须依赖 authMethod 或 trustedProxyAuthOk 为真，而此路径下两者均为 false，为最终 scope 保留奠定了条件。"
entry-00458,trace[6],119,119-121,"connect-policy.ts 第 119 行在 evaluateMissingDeviceIdentity 内调用 roleCanSkipDeviceIdentity；当 role === ""operator"" 且 sharedAuthOk === true 时，函数直接返回 {kind: ""allow""}。在调用栈上游，trusted-proxy 认证使 sharedAuthOk=true，满足跳过设备身份的条件。该 allow 决策随后流回 message-handler.ts：decision.kind === ""allow"" 使 scope 清除条件的左半部分为 false，进一步收窄 clearUnboundScopes() 触发的可能性。","connect-policy.ts 第 119-121 行在 evaluateMissingDeviceIdentity 内调用 roleCanSkipDeviceIdentity；当 role === ""operator"" 且 sharedAuthOk === true 时，函数直接返回 {kind: ""allow""}。在调用栈上游，trusted-proxy 认证使 sharedAuthOk=true，满足跳过设备身份的条件。该 allow 决策随后流回 message-handler.ts：decision.kind === ""allow"" 使 scope 清除条件的左半部分为 false，进一步收窄 clearUnboundScopes() 触发的可能性。"
entry-00458,trace[7],14,14-16,"role-policy.ts 第 14 行的 roleCanSkipDeviceIdentity 仅凭 role === ""operator"" && sharedAuthOk 两个条件决定是否跳过设备身份验证。在调用栈下游的 evaluateMissingDeviceIdentity 中，trusted-proxy 认证路径使 sharedAuthOk=true，operator 角色同时满足，函数返回 true，推动 decision.kind 为 ""allow""。此设计未区分设备身份缺失的成因，间接使 scope 清除条件在 trusted-proxy 路径下无法命中 clearUnboundScopes()。","role-policy.ts 第 14-16 行的 roleCanSkipDeviceIdentity 仅凭 role === ""operator"" && sharedAuthOk 两个条件决定是否跳过设备身份验证。在调用栈下游的 evaluateMissingDeviceIdentity 中，trusted-proxy 认证路径使 sharedAuthOk=true，operator 角色同时满足，函数返回 true，推动 decision.kind 为 ""allow""。此设计未区分设备身份缺失的成因，间接使 scope 清除条件在 trusted-proxy 路径下无法命中 clearUnboundScopes()。"
entry-00458,trace[8],549,549-557,"message-handler.ts 第 549 行 if 条件块作为整条调用链的收口：经 resolveConnectAuthState 确认 authMethod=""trusted-proxy""、sharedAuthOk=true，经 evaluateMissingDeviceIdentity 返回 decision.kind=""allow""，最终汇聚到此判断。由于 decision.kind === ""allow""、authMethod 不在 token/password 白名单且 trustedProxyAuthOk===false，条件整体为 false，clearUnboundScopes() 不执行，客户端自我声明的 operator.admin scope 在握手结束后完整生效，权限提升链路完成闭合。","message-handler.ts 第 549-557 行 if 条件块作为整条调用链的收口：经 resolveConnectAuthState 确认 authMethod=""trusted-proxy""、sharedAuthOk=true，经 evaluateMissingDeviceIdentity 返回 decision.kind=""allow""，最终汇聚到此判断。由于 decision.kind === ""allow""、authMethod 不在 token/password 白名单且 trustedProxyAuthOk===false，条件整体为 false，clearUnboundScopes() 不执行，客户端自我声明的 operator.admin scope 在握手结束后完整生效，权限提升链路完成闭合。"
